visible at 
frame = 21700
1124.864704 5500.085483 -3236.499308
1266.362811 5505.022794 -3177.992651
1402.209216 5512.786152 -3107.198554
1541.428010 5512.045905 -3042.735137
1675.876440 5512.300364 -2968.809823
1808.284563 5511.663124 -2891.463723
1934.156025 5514.047094 -2803.740114
2052.220339 5518.414972 -2706.001772
2164.912787 5524.017429 -2601.989038
2276.655742 5527.243046 -2496.994275
2386.252296 5528.313144 -2389.582545
2489.791230 5530.142512 -2276.488220
2584.339814 5534.840001 -2155.697351
2665.356332 5545.280158 -2025.892055
2737.429104 5558.761779 -1891.101975
2809.276644 5569.472301 -1756.021722
2877.783227 5578.028417 -1618.984880
2935.936600 5587.624930 -1477.394219
2979.387080 5600.746084 -1330.800937
3006.207598 5619.343039 -1180.938278
3025.872929 5638.803836 -1030.024062
3045.613950 5653.890505 -878.663064
3048.810140 5673.207373 -726.597168
3032.268414 5698.857235 -576.304020
3014.468284 5720.477604 -425.500119
3003.946762 5733.990268 -273.060635
2988.082403 5747.031496 -121.105327
2954.606632 5764.433569 27.599125
2917.095435 5780.654214 175.408256
2876.044272 5794.672693 322.554689
2819.441169 5812.849394 463.944760
2749.795299 5833.931276 598.937216
2670.558402 5856.282437 728.397936
2584.551103 5878.977511 853.359539
2490.636079 5902.300529 972.401765
2388.582733 5925.660092 1084.513736
2279.548472 5948.575036 1189.967623
2165.599682 5970.673332 1290.274865
2047.478824 5992.087561 1385.797772
1923.518769 6013.217343 1473.679672
1792.536114 6034.500187 1550.652460
1654.540376 6056.363974 1614.016051
1510.915385 6079.087870 1662.906034
1363.553493 6102.768884 1698.491465
1215.024738 6126.088304 1728.779010
1064.895198 6147.717146 1751.572862
913.076703 6169.135410 1753.974037
761.337092 6191.128339 1747.945064
608.849023 6206.422664 1753.185601
456.175998 6219.609370 1751.571709
306.671199 6237.356136 1722.065025
159.565594 6254.232054 1682.585803
13.202611 6268.618519 1638.531588
-130.321530 6281.492769 1586.057233
-270.943107 6292.618198 1525.720111
-407.764528 6302.051725 1457.007533
-540.277147 6309.845771 1380.100443
-666.704544 6317.231875 1293.510076
-783.602754 6324.390473 1194.422684
-887.990368 6330.513666 1082.190554
-980.127732 6335.006035 959.596653
-1063.828893 6337.701368 831.088514
-1143.190686 6338.793626 699.777055
-1217.146186 6337.986758 565.415848
-1283.484719 6335.439550 427.050197
-1341.312659 6331.575639 285.111692
-1388.814684 6326.656598 139.198464
-1423.710680 6320.987552 -9.998005
-1423.710680 6320.987552 -9.998005
-1423.710680 6320.987552 -9.998005

visible at 
frame = 21706
-1440.862652 6316.415527 -115.836528
-1464.328916 6305.603053 -267.027593
-1477.627546 6295.551621 -419.265736
-1485.113874 6282.579108 -572.150701
-1475.344207 6269.075229 -724.144271
-1453.594416 6254.583782 -874.970438
-1471.469745 6227.056489 -1024.892434
-1447.598862 6205.739231 -1174.000144
-1442.363589 6176.537448 -1322.684688
-1384.575796 6157.180725 -1465.555411
-1391.790196 6118.246353 -1613.416030
-1369.401778 6082.992728 -1759.357061
-1322.402789 6050.627160 -1902.162210
-1277.337239 6014.401549 -2044.056991
-1224.561010 5976.951816 -2183.191862
-1157.942797 5940.571719 -2316.393299
-1071.303305 5908.300254 -2438.716777
-973.835699 5877.235990 -2552.974895
-876.372983 5842.455305 -2666.247369
-776.900002 5804.878880 -2776.797212
-674.156739 5764.853726 -2883.452263
-567.412007 5723.338600 -2985.498056
-456.728260 5681.735139 -3083.236222
-339.748088 5641.518396 -3173.964722
-212.990368 5604.419407 -3251.975832
-74.946669 5572.783884 -3310.840020
71.695466 5547.950584 -3348.382828
222.599343 5529.136263 -3368.637402
375.058202 5514.620307 -3377.390148
528.091308 5505.558047 -3372.796933
679.896862 5502.677087 -3351.303782
830.001896 5502.075201 -3319.608552
978.319722 5500.985239 -3280.668939
1125.255066 5500.096790 -3236.344191
1266.743650 5505.030020 -3177.829116
1402.581094 5512.786611 -3107.030556
1541.787022 5512.046109 -3042.552754
1676.221872 5512.300177 -2968.614464
1808.613817 5511.666853 -2891.250917
1934.466220 5514.054034 -2803.511191
2052.508820 5518.428284 -2705.755689
2165.175443 5524.039746 -2601.723966
2276.885247 5527.282846 -2496.703388
2386.441896 5528.376668 -2389.259452
2489.935312 5530.231073 -2276.130918
2584.433233 5534.950650 -2155.309026
2665.407851 5545.404232 -2025.485951
2737.449055 5558.893347 -1890.685968
2809.254109 5569.619181 -1755.590316
2877.707190 5578.196661 -1618.535222
2935.809745 5587.811638 -1476.930958
2979.221104 5600.944268 -1330.333966
3006.024401 5619.538482 -1180.473041
3025.669006 5638.997281 -1029.562067
3045.354201 5654.101029 -878.200862
3048.522839 5673.420370 -726.140178
3031.999331 5699.042668 -575.846485
3014.201986 5720.650254 -425.045990
3003.639875 5734.172795 -272.616176
2987.727881 5747.224859 -120.672062
2954.229317 5764.625491 28.021217
2916.693955 5780.845485 175.819082
2875.629572 5794.856475 322.956497
2819.072383 5812.994590 464.364129
2749.496462 5834.025330 599.394230
2670.313729 5856.334242 728.887242
2584.324991 5879.008001 853.859328
2490.397150 5902.329579 972.883905
2388.304758 5925.698799 1084.951185
2279.231380 5948.621810 1190.353430
2165.264148 5970.718910 1290.630857
2047.150521 5992.123616 1386.155652
1923.205309 6013.241219 1474.050472
1792.225664 6034.514971 1551.020819
1654.213881 6056.380656 1614.334888
1510.563162 6079.119244 1663.124425
1363.179339 6102.828525 1698.576932
1214.641138 6126.173283 1728.765488
1064.515531 6147.796502 1751.556457
912.700457 6169.200261 1753.946574
760.966900 6191.186633 1747.902673
608.482980 6206.477414 1753.117180
455.815767 6219.664262 1751.473208
306.320682 6237.406007 1721.948527
159.223305 6254.276117 1682.455702
12.873070 6268.660367 1638.378832
-130.632391 6281.535821 1585.872070
-271.233298 6292.660040 1525.501408
-408.037058 6302.090346 1456.766283
-540.541631 6309.876226 1379.855185
-666.956701 6317.254162 1293.257220
-783.833950 6324.405729 1194.152753
-888.203361 6330.523743 1081.911194
-980.333941 6335.010939 959.319349
-1064.037586 6337.701054 830.819743
-1143.402835 6338.783834 699.516644
-1217.338204 6337.968765 565.151388
-1283.639162 6335.419159 426.773737
-1341.427881 6331.556720 284.826312
-1388.895456 6326.642620 138.906607
-1423.754283 6320.976767 -10.291839
-1423.754283 6320.976767 -10.291839
-1423.754283 6320.976767 -10.291839

visible at 
frame = 21707
-1440.887097 6316.404098 -116.131786
-1464.332149 6305.589889 -267.320567
-1477.607432 6295.536947 -419.553604
-1485.079039 6282.561425 -572.432526
-1475.295324 6269.055017 -724.422255
-1453.595037 6254.544642 -875.246559
-1471.366265 6227.033637 -1025.176018
-1447.545583 6205.697134 -1174.290404
-1442.222839 6176.507192 -1322.980355
-1384.550442 6157.110327 -1465.873462
-1391.644279 6118.194059 -1613.741835
-1369.187169 6082.947875 -1759.681210
-1322.218951 6050.567706 -1902.480824
-1277.112003 6014.345842 -2044.359789
